EAN,NOMBRE,COSTE,UNIDADES (stock_actual),PVP,SKU,Categoría,TIPO,TIPO_IVA,Proveedor
9788413418896,Bola Drac ED 7,"8,72",1,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413418902,Bola Drac ED 8,"8,72",1,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788413418919,Bola Drac ED 9,"8,04",1,"12,95",,Libros de cómics,MANGA,4,PLANETA
9788419177087,Borregos Red 1,"9,76",1,"14,5",,Libros de cómics,MANGA,4,ASTURLIBROS
9788419177094,Borregos Red 2,"9,76",1,"14,5",,Libros de cómics,MANGA,4,ASTURLIBROS
9788419536983,Boy's Abyss 10,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9788419914491,Boy's Abyss 12,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9788419195975,Boy's Abyss 6,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9788419536297,Boy's Abyss 7,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9788419536464,Boy's Abyss 8,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9788419536808,Boy's Abyss 9,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9791387506209,Boy's Abyss 17,"6,06",0,9,,Libros de cómics,MANGA,4,AZETA
9791387506742,Boy's Abyss 18,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9788467970173,Brillo Noches Luna INT,"12,12",1,18,,Libros de cómics,MANGA,4,ASTURLIBROS
9791388055188,Buenas noches mar 2,"6,73",1,10,,Libros de cómics,MANGA,4,AZETA
9791388178788,Bug Ego 1,"6,66",0,"9,9",,Libros de cómics,MANGA,4,ASTURLIBROS
9791388178832,Bug Ego 2,"6,66",0,"9,9",,Libros de cómics,MANGA,4,ASTURLIBROS
9791388298257,Bug Ego 3,"6,66",1,"9,9",,Libros de cómics,MANGA,4,ASTURLIBROS
9791388055485,Bugle Call 1,"6,06",2,9,,Libros de cómics,MANGA,4,AZETA
9788418309809,Callejeando Perro Fantasma,"15,48",1,23,,Libros de cómics,MANGA,4,UDL
9788467963021,Cardcaptor Sakura 1,"7,37",1,"10,95",,Libros de cómics,MANGA,4,ASTURLIBROS
